Scope,Category,Sub_category,Source,Units,UVA 2016 inventory data,CO2 EF,CO2 EF Units,eCO2 EF,eCO2 EF Units,CH4 EF,CH4 EF Units,N2O EF,N2O EF Units,NOx EF,NOx EF Units,Other N EF,Other N EF Units,P EF,P EF Units,Water EF,Water EF Units
Scope 3,Student Travel to/from Home,Student Travel to/from Home,Automobile,vehicle mile,,0.355057878,kg CO2 / vehicle mile,,kg eCO2 / vehicle mile,0.0000771,kg CH4 / vehicle mile,0.0000258,kg N2O / vehicle mile,0.000555519,kg NOx / vehicle mile,,kg N / vehicle mile,,,,
Scope 3,Student Travel to/from Home,Student Travel to/from Home,Carpool,vehicle mile,,0.177528939,kg CO2 / vehicle mile,,kg eCO2 / vehicle mile,0.0000386,kg CH4 / vehicle mile,0.0000129,kg N2O / vehicle mile,0.00027776,kg NOx / vehicle mile,,kg N / vehicle mile,,,,
Scope 3,Student Travel to/from Home,Student Travel to/from Home,Public Bus,passenger mile,,0.318349987,kg CO2 / passenger mile,,kg eCO2 / passenger mile,0.0000178,kg CH4 / passenger mile,0.00000805,kg N2O / passenger mile,0.001396359,kg NOx / passenger mile,,kg N / passenger mile,,,,
Scope 3,Student Travel to/from Home,Student Travel to/from Home,Train,passenger mile,,0.148333015,kg CO2 / passenger mile,,kg eCO2 / passenger mile,0.00000654,kg CH4 / passenger mile,0.00000392,kg N2O / passenger mile,0.000736695,kg NOx / passenger mile,,kg N / passenger mile,,,,
Scope 3,Study Abroad,Study Abroad,Air Travel,passenger mile,,0.178024451,kg CO2 / passenger mile,,kg eCO2 / passenger mile,0.00000476,kg CH4 / passenger mile,0.00000548,kg N2O / passenger mile,0.000194702,kg NOx / passenger mile,,kg N / passenger mile,,,,
Scope 3,Wastewater,Central Treatment System,Aerobic,US gallon,,,kg CO2 / US gallon,,kg eCO2 / US gallon,0,kg CH4 / US gallon,0.00000163,kg N2O / US gallon,,kg NOx / US gallon,0.000142,kg N / US gallon,0.000028,kg P/US gal,,
Scope 3,Wastewater,Central Treatment System,Anaerobic,US gallon,,,kg CO2 / US gallon,,kg eCO2 / US gallon,0.00034032,kg CH4 / US gallon,0.00000163,kg N2O / US gallon,,kg NOx / US gallon,0.000142,kg N / US gallon,0.000022,kg P/US gal,,
Scope 3,Wastewater,Central Treatment System,Anaerobic Digestion,US gallon,287063700,,kg CO2 / US gallon,,kg eCO2 / US gallon,0.00000122,kg CH4 / US gallon,0.00000163,kg N2O / US gallon,,kg NOx / US gallon,0.0000061,kg N / US gallon,0.000003,kg P/US gal,,
Scope 3,Wastewater,Central Treatment System,Other,US gallon,,,kg CO2 / US gallon,,kg eCO2 / US gallon,,kg CH4 / US gallon,,kg N2O / US gallon,,kg NOx / US gallon,,kg N / US gallon,,,,
Scope 3,Wastewater,Septic,Septic System,US gallon,,,kg CO2 / US gallon,,kg eCO2 / US gallon,0.0002127,kg CH4 / US gallon,0.00000148,kg N2O / US gallon,,kg NOx / US gallon,0.000161,kg N / US gallon,0.000023,kg P/US gal,,
Sinks,Compost,Compost,Agricultural Waste,short ton,,,kg CO2 / short ton,-0.294,kg eCO2 / short ton,,kg CH4 / short ton,,kg N2O / short ton,,kg NOx / short ton,-18.14,kg N / short ton,,,,
Sinks,Compost,Compost,Dining Waste,short ton,,,kg CO2 / short ton,-0.294,kg eCO2 / short ton,,kg CH4 / short ton,,kg N2O / short ton,,kg NOx / short ton,-9.436,kg N / short ton,,,,
Sinks,Compost,Compost,Other,short ton,,,kg CO2 / short ton,,kg eCO2 / short ton,,kg CH4 / short ton,,kg N2O / short ton,,kg NOx / short ton,,kg N / short ton,,,,
Sinks,Non-Additional Sequestration,Non-Additional Sequestration,Carbon,MT eCO2,,,kg CO2 / MT eCO2,,kg eCO2 / MT eCO2,,kg CH4 / MT eCO2,,kg N2O / MT eCO2,,kg NOx / MT eCO2,,kg N / MT eCO2,,,,
Sinks,Non-Additional Sequestration,Non-Additional Sequestration,Nitrogen,kg N,,,kg CO2 / kg N,,kg eCO2 / kg N,,kg CH4 / kg N,,kg N2O / kg N,,kg NOx / kg N,,kg N / kg N,,,,
Sinks,Offsets,Offsets,Carbon Purchased,MT eCO2,,,kg CO2 / MT eCO2,,kg eCO2 / MT eCO2,,kg CH4 / MT eCO2,,kg N2O / MT eCO2,,kg NOx / MT eCO2,,kg N / MT eCO2,,,,
Sinks,Offsets,Offsets,Carbon Sold/Transferred,MT eCO2,,,kg CO2 / MT eCO2,,kg eCO2 / MT eCO2,,kg CH4 / MT eCO2,,kg N2O / MT eCO2,,kg NOx / MT eCO2,,kg N / MT eCO2,,,,
Sinks,Offsets,Offsets,Nitrogen Purchased,kg N,,,kg CO2 / kg N,,kg eCO2 / kg N,,kg CH4 / kg N,,kg N2O / kg N,,kg NOx / kg N,,kg N / kg N,,,,
Sinks,Offsets,Offsets,Nitrogen Sold/Transferred,kg N,,,kg CO2 / kg N,,kg eCO2 / kg N,,kg CH4 / kg N,,kg N2O / kg N,,kg NOx / kg N,,kg N / kg N,,,,
Scope 1,Direct Water Use,On-campus water consumption,Direct Use,millions of gallons,514.8,,,,,,,,,,,,,,,1,
